website,city,country,name,state,postgraduate_num,rank,undergraduate_num
"全日制16,810；非全日制3,040*(2)",格拉斯哥大学 ,78,格拉斯哥,"全日制5,750；非全日制1,790*(2)",苏格兰,英国,www.gla.ac.uk
"32,206*(4)",罗格斯大学 ,76,"新布伦瑞克,、,皮斯卡特维","16,172*(4)",新泽西州,美国,www.newbrunswick.rutgers.edu
"42,608*(3)",佛罗里达大学 ,75,盖恩斯维尔,"29,984（不含Part-time）*(3)",佛罗里达州,美国,"南部学院及学校协会,（SACS）"
"3,879*(3)",莱斯大学 ,71,休斯敦,"2,744*(3)",德克萨斯州,美国,www.rice.edu
"39,143*(3)",密歇根州立大学 ,70,东兰辛,"11,400*(3)",密歇根州,美国,www.msu.edu
"19,674*(6)",西澳大学 ,73,珀斯,"5,373*(6)",西澳大利亚州,澳大利亚,www.uwa.edu.au
"33,732*(3)",亚利桑那大学 ,68,图森,"9,356*(3)",亚利桑那州,美国,www.arizona.edu
"全日制14,290；非全日制80*(2)",埃克塞特大学 ,119,埃克塞特,"全日制3,345；非全日制1,125*(2)",英格兰,英国,
"25,352*(3)(4)",加州大学尔湾分校 ,66,尔湾,"6,199*(3)(4)",加利福尼亚州,美国,www.uci.edu
"7,803*(4)",艾茉莉大学 ,61,"亚特兰大, *(1)","6,921*(4)","佐治亚州, *(1)",美国,www.emory.edu *(3)
"14,682*(3)",佐治亚理工学院 ,62,亚特兰大,"8,427*(3)",佐治亚州,美国,www.gatech.edu
"全日制14,510；非全日制470*(3)",布里斯托大学 ,63,布里斯托,"全日制3,885；非全日制1,305*(3)",英格兰,英国,bristol.ac.uk
"10,307*(4)",澳洲国立大学 ,59,堪培拉,"10,842*(4)",首都特区,澳大利亚,www.anu.edu.au
"6,883*(6)",范德堡大学 ,57,纳什维尔,"5,684*(6)",田纳西州,美国,www.vanderbilt.edu
"46,275*(7)",莫纳什大学 ,58,墨尔本,"授课型：12,925,研究型：4,702*(7)",维多利亚州,澳大利亚,www.monash.edu.au
"28,384*(3)",加州大学戴维斯分校 ,48,戴维斯,"7,720*(3)",加利福尼亚州,美国,www.ucdavis.edu
"43,401",南加州大学 ,53,洛杉矶,"18,810*(4)",加利福尼亚州,美国,"西部学校及学院协会,（WACS）"
"16,231*(3)",加州大学圣克鲁兹分校 ,43,圣克鲁兹,"1,637*(3)",加利福尼亚州,美国,www.ucsc.edu
"全日制25,795；非全日制685*(3)",曼彻斯特大学 ,52,曼彻斯特,"全日制7,975；非全日制3,465*(3)",英格兰,英国,www.manchester.ac.uk
"17,887（不含Part-time），18,908（含Part-time）*(3)",匹兹堡大学 ,44,"匹兹堡,另有本科学院设在布兰德福德、格林斯堡、约翰斯敦和泰特斯维尔","7,577（不含Part-time），9,741（含Part-time）(4)",宾夕法尼亚州,美国,www.pitt.edu
"45,289（哥伦布校区）*(4)",俄亥俄州立大学 ,42,哥伦布,"13,374（哥伦布校区）*(4)",俄亥俄州,美国,www.osu.edu
"32,775",科罗拉多大学博尔德分校 ,40,博尔德,"27,010*(5)",科罗拉多州,美国,"中北部学院及学校协会,（NCACS）"
"36,219*(3)",昆士兰大学 ,41,布里斯班,"12,585*(3)",昆士兰州,澳大利亚,www.uq.edu.au
"33,219*(3)",悉尼大学 ,34,悉尼,"18,175*(3)",新南威尔士州,澳大利亚,www.sydney.edu.au
"全日制13,505；非全日制2,905*(2)",伦敦大学国王学院 ,37,伦敦,"全日制6,350；非全日制4,885*(2)",英格兰,英国,www.kcl.ac.u
"6,841（不含Part-time）*(3)",圣路易斯华盛顿大学 ,32,圣路易斯,"7,649（含Part-time）*(3)",密苏里州,美国,"中北部学院及学校协会,（NCACS）*(4)"
"29,580*(4)",威斯康辛大学麦迪逊分校 ,30,麦迪逊,"13,809*(4)",威斯康辛州,美国,www.wisc.edu
"20,607*(3)",加州大学圣塔芭芭拉分校 ,28,圣塔芭芭拉,"2,890*(3)",加利福尼亚州,美国,www.ucsb.edu
"14,315*(3)",康奈尔大学 ,23,伊萨卡,"7,589*(3)",纽约州,美国,www.cornell.edu
"全日制14,625；非全日制785*(2)",伦敦大学学院 ,22,伦敦,"全日制9,750；非全日制3,260*(2)",英格兰,英国,www.ucl.ac.uk
"全日制8,885；非全日制0*(2)",帝国理工学院 ,17,伦敦,"全日制5,895；非全日制1,445*(2)",英格兰,英国,www.imperial.ac.uk
"33,735",加州大学圣地亚哥分校 ,16,拉霍亚,"26,590 *(5)",加利福尼亚州,美国,西部学校及学院协会（WASC）
"9,726*(3)",宾夕法尼亚大学 ,19,费城,"11,669*(3)",宾夕法尼亚州,美国,www.upenn.edu
"12,962",芝加哥大学 ,14,伊利诺伊州,"5,844*(3)",美国,3,"中北部学院及学校协会,（NCACS）"
"5,532*(6)",耶鲁大学 ,12,纽黑文,"6,853*(6)",康涅狄格州,美国,www.yale.edu
"29,585*(3)",加州大学洛杉矶分校 ,13,洛杉矶,"13,716*(3)",加利福尼亚州,美国,www.ucla.edu
"5,402*(3)",普林斯顿大学 ,9,普林斯顿,"2,736*(3)",新泽西州,美国,www.princeton.edu
"全日制18, 650；非全日制290*(3)",爱丁堡大学 ,29,爱丁堡,"全日制6,485；非全日制935*(3)",苏格兰,英国,www.ed.ac.uk
"1,001*(7)",加州理工学院 ,6,帕萨迪纳,"1,254*(7)",加利福尼亚州,美国,www.caltech.edu
"45,408",华盛顿大学 ,11,华盛顿州,"31,063*(3)",美国,56*(2),"西北学院及大学认证委员会,（NWCCU）*(3)"
"全日制11,865；非全日制290*(3)",剑桥大学 ,7,剑桥,"全日制6,485；非全日制935*(3)",英格兰,英国,www.cam.ac.uk
"27,496 *(5)",加州大学伯克利分校 ,4,伯克利,"10,708*(5)",加利福尼亚州,美国,www.berkeley.edu
"全日制11,380；非全日制5,275*(3)",牛津大学 ,5,牛津,"全日制7,515；非全日制1,735*(3)",英格兰,英国,www.ox.ac.uk
"6,999*(3)",斯坦福大学 ,3,斯坦福,"9,771*(3)",加利福尼亚州,美国,www.stanford.edu
"4,527*(7)",麻省理工学院 ,2,剑桥,"6,804*(7)",马萨诸塞州,美国,"www.,mit,.edu"
